,Country,GDP_Capita,Family,Life_Expectancy,Freedom,EducationIndex,Safety_index,Happiness_Score
105,Georgia,0.4753063321113585,0.285307466983795,0.649546980857849,0.309410035610199,0.794,0.625,5.197958307947431
106,Mali,0.2380902469158175,0.6407366991043101,0.16936567425727805,0.306613743305206,0.312,0.305,3.8882948051180173
107,Cambodia,0.30088254809379605,0.50311917066574,0.429783403873444,0.633375823497772,0.45899999999999996,0.688,5.734515637329645
108,Sudan,0.32975834608078003,0.607004284858705,0.290920823812485,0.0149958552792668,0.318,0.129,3.1281133000446246
109,Ghana,0.333612412214279,0.436832368373871,0.29563772678375205,0.423026293516159,0.551,0.7240000000000001,5.020155429840088
110,Ukraine,0.447325974702835,0.697268784046175,0.575903952121735,0.122974775731564,0.8029999999999999,0.307,5.290676409431869
111,Uganda,0.1907153576612475,0.564913868904115,0.21763260662555706,0.443185955286026,0.467,0.399,4.6892111263956355
112,Burkina Faso,0.17511385679245006,0.52164000272751,0.21584425866603896,0.32436785101890603,0.262,0.406,3.7928085274355787
113,Niger,0.08096266537904749,0.4965125024318695,0.26850500702858,0.36365869641304,0.20600000000000002,0.366,3.9737698160750523
114,Malawi,0.1167210191488265,0.25628441572189353,0.315089583396912,0.466914653778076,0.445,0.511,4.4442995314938685
115,Zimbabwe,0.18792326748371105,0.54154795408249,0.19676375389099104,0.336384207010269,0.544,0.514,4.74374168923923
116,Lesotho,0.2605106234550475,0.59504759311676,,0.390661299228668,0.503,0.458,
117,Angola,0.42921409010887146,0.552205979824065,0.0498686656355858,,0.48200000000000004,0.4,
118,Afghanistan,0.2007386088371275,0.2907716631889345,0.18074677884578694,0.106179520487785,0.39799999999999996,0.062,3.197766530513763
119,Botswana,0.561047077178955,0.610777497291565,0.34175550937652605,0.505196332931519,0.6579999999999999,0.551,4.968252023969379
120,Benin,0.21554270386695853,0.217649921774864,0.20993021130561804,0.42596277594566295,0.414,0.445,4.182979446990148
121,Madagascar,0.1529043465852735,0.4565101861953736,0.375223308801651,0.18919676542282104,0.49200000000000005,0.484,4.499763724293027
122,Haiti,0.1843051314353945,0.3202249109745025,0.277321130037308,0.0303698573261499,0.425,0.414,3.0731728996762215
123,Yemen,0.29584172368049605,0.467691123485565,0.310080915689468,0.24946372210979506,0.35,0.093,3.237253549950463
124,Liberia,0.059520896524191,0.43605896830558794,0.229918196797371,0.33288118243217496,0.423,0.439,4.171970348656179
125,Guinea,0.12227496504783653,0.3956223428249361,0.194129139184952,0.348587512969971,0.33,0.387,3.968019942896708
126,Togo,0.15272235870361345,0.21594126522541054,0.247105568647385,0.38042613863945,0.489,0.5670000000000001,4.360279044594084
127,Rwanda,0.1843729466199875,0.472853511571884,0.326424807310104,0.5818438529968261,0.426,0.364,4.793564454998288
128,Tanzania,0.2555679380893705,0.520994901657105,0.364509284496307,0.390017777681351,0.441,0.595,5.095842717034477
129,Burundi,0.0458112843334675,0.3148967921733855,0.151610791683197,0.0599007532000542,0.395,0.3,3.2388851734144346
130,Central African Republic,,,0.0187726859003305,0.270842045545578,0.33799999999999997,0.104,
